Fecha,Tipo Consulta,VENTAS,CANT_VENTAS
2023-06-03,Infantil,1308000,33
2023-06-05,Teleconsulta,1435000,21
2023-06-05,Adultos,3785000,59
2023-06-05,Infantil,4315000,66
2023-06-06,Adultos,3095000,51
2023-06-06,Infantil,4460000,76
2023-06-06,Teleconsulta,2700000,44
2023-06-07,Infantil,4539000,79
2023-06-07,Teleconsulta,2112000,34
2023-06-07,Adultos,3791000,71
2023-06-08,Infantil,3720000,66
2023-06-08,Adultos,3375000,59
2023-06-08,Teleconsulta,2130000,36
2023-06-09,Infantil,3232000,62
2023-06-09,Teleconsulta,1180000,22
2023-06-09,Adultos,2905000,49
2023-06-10,Adultos,610000,10
2023-06-10,Infantil,1224000,30
2023-06-10,Teleconsulta,895000,15
2023-06-12,Infantil,3604000,65
2023-06-12,Teleconsulta,1996000,31
2023-06-12,Adultos,3451000,59
2023-06-13,Infantil,3774000,68
2023-06-13,Teleconsulta,2840000,42
2023-06-13,Adultos,4110000,72
2023-06-14,Adultos,4462000,81
2023-06-14,Infantil,3322000,61
2023-06-14,Teleconsulta,1851000,28
2023-06-15,Teleconsulta,2460000,38
2023-06-15,Infantil,3175000,55
2023-06-15,Adultos,3195000,59
2023-06-16,Teleconsulta,1005000,19
2023-06-16,Adultos,4215000,73
2023-06-16,Infantil,2837000,56
2023-06-17,Teleconsulta,1170000,22
2023-06-17,Infantil,1354000,34
2023-06-17,Adultos,1250000,20
2023-06-19,Infantil,3595000,60
2023-06-19,Teleconsulta,1610000,26
2023-06-19,Adultos,3445000,60
2023-06-20,Teleconsulta,2360000,36
2023-06-20,Infantil,4056000,72
2023-06-20,Adultos,4195000,71
2023-06-22,Infantil,3230000,56
2023-06-22,Teleconsulta,1995000,31
2023-06-22,Adultos,1915000,39
2023-06-23,Adultos,2975000,51
2023-06-23,Infantil,2804500,49
2023-06-23,Teleconsulta,1410000,26
2023-06-24,Teleconsulta,1395000,27
2023-06-24,Infantil,1253000,29
2023-06-24,Adultos,500000,12
2023-06-27,Teleconsulta,2355000,37
2023-06-27,Adultos,4535000,79
2023-06-27,Infantil,3793000,59
2023-06-28,Infantil,3351000,60
2023-06-28,Teleconsulta,1725000,29
2023-06-28,Adultos,3455000,61
2023-06-29,Infantil,3660000,63
2023-06-29,Teleconsulta,1810000,32
2023-06-29,Adultos,3225000,61
2023-06-30,Adultos,3495000,61
2023-06-30,Infantil,2978000,55
2023-06-30,Teleconsulta,515000,9
2023-07-01,Infantil,1175000,27
2023-07-01,Teleconsulta,1220000,22
2023-07-01,Adultos,565000,13
2023-07-03,Teleconsulta,1560000,26
2023-07-03,Infantil,3005000,48
2023-07-03,Adultos,3549000,61
2023-07-04,Adultos,4640000,76
2023-07-04,Infantil,2363000,42
2023-07-04,Teleconsulta,1920000,34
2023-07-05,Teleconsulta,1440000,22
2023-07-05,Adultos,4565000,85
2023-07-05,Infantil,2943000,53
2023-07-06,Adultos,2860000,54
2023-07-06,Teleconsulta,1990000,30
2023-07-06,Infantil,3730000,65
2023-07-07,Teleconsulta,835000,15
2023-07-07,Infantil,2489000,45
2023-07-07,Adultos,3830000,66
2023-07-08,Adultos,1395000,26
2023-07-08,Infantil,1588000,35
2023-07-08,Teleconsulta,1005000,15
2023-07-10,Infantil,2597000,47
2023-07-10,Teleconsulta,1435000,23
2023-07-10,Adultos,4007000,69
2023-07-11,Teleconsulta,1575000,29
2023-07-11,Infantil,3222000,58
2023-07-11,Adultos,4480000,80
2023-07-12,Adultos,4220000,76
2023-07-12,Infantil,3604000,56
2023-07-12,Teleconsulta,1255000,21
2023-07-13,Teleconsulta,2205000,35
2023-07-13,Adultos,2780000,54
2023-07-13,Infantil,3395000,55
2023-07-14,Teleconsulta,980000,16
2023-07-14,Adultos,2775000,49
2023-07-14,Infantil,3109000,59
2023-07-15,Teleconsulta,785000,13
2023-07-15,Infantil,914000,24
2023-07-15,Adultos,1040000,20
2023-07-17,Adultos,3779000,64
2023-07-17,Infantil,3008000,51
2023-07-17,Teleconsulta,1000000,16
2023-07-18,Teleconsulta,2360000,38
2023-07-18,Infantil,3960000,69
2023-07-18,Adultos,4365000,75
2023-07-19,Infantil,3907000,70
2023-07-19,Teleconsulta,1769000,27
2023-07-19,Adultos,4604000,85
2023-07-20,Adultos,3680000,64
2023-07-20,Infantil,4560000,77
2023-07-20,Teleconsulta,2065000,35
2023-07-21,Infantil,3287000,59
2023-07-21,Teleconsulta,1350000,22
2023-07-21,Adultos,3771000,66
2023-07-22,Adultos,1071000,20
2023-07-22,Teleconsulta,200000,4
2023-07-22,Infantil,1813000,42
2023-07-24,Teleconsulta,1755000,27
2023-07-24,Infantil,2935000,49
2023-07-24,Adultos,3690000,63
2023-07-25,Adultos,4265000,69
2023-07-25,Infantil,3853000,66
2023-07-25,Teleconsulta,2016000,33
2023-07-26,Teleconsulta,1327000,20
2023-07-26,Infantil,3354000,56
2023-07-26,Adultos,3727000,69
2023-07-27,Infantil,4642500,80
2023-07-27,Teleconsulta,1685000,27
2023-07-27,Adultos,3305000,59
2023-07-28,Adultos,4070000,68
2023-07-28,Infantil,2578000,49
2023-07-28,Teleconsulta,950000,16
2023-07-29,Infantil,1460000,37
2023-07-29,Teleconsulta,765000,13
2023-07-29,Adultos,590000,14
2023-07-31,Adultos,3884000,65
2023-07-31,Infantil,3620000,63
2023-07-31,Teleconsulta,1744000,28
2023-08-01,Teleconsulta,2105000,37
2023-08-01,Infantil,3744000,63
2023-08-01,Adultos,3860000,64
2023-08-02,Teleconsulta,1795000,27
2023-08-02,Infantil,3816000,67
2023-08-02,Adultos,4813000,86
2023-08-03,Adultos,3415000,63
2023-08-03,Infantil,4295000,77
2023-08-03,Teleconsulta,1880000,32
2023-08-04,Teleconsulta,1190000,18
2023-08-04,Infantil,3409000,60
2023-08-04,Adultos,3355000,57
2023-08-05,Infantil,1481000,35
2023-08-05,Teleconsulta,1110000,18
2023-08-05,Adultos,1880000,32
2023-08-07,Infantil,3525000,59
2023-08-07,Teleconsulta,2270000,36
2023-08-07,Adultos,5038000,80
2023-08-08,Infantil,4135500,73
2023-08-08,Adultos,3510000,60
2023-08-08,Teleconsulta,2335000,39
2023-08-09,Adultos,4020000,73
2023-08-09,Infantil,3283000,59
2023-08-09,Teleconsulta,1746000,29
2023-08-10,Adultos,3435000,63
2023-08-10,Infantil,3763000,68
2023-08-10,Teleconsulta,1365000,25
2023-08-11,Adultos,3340000,58
2023-08-11,Infantil,3485000,62
2023-08-11,Teleconsulta,640000,10
2023-08-12,Adultos,1190000,22
2023-08-12,Infantil,1546000,34
2023-08-12,Teleconsulta,1310000,22
2023-08-14,Adultos,2895000,51
2023-08-14,Infantil,3171000,51
2023-08-14,Teleconsulta,1515000,23
2023-08-16,Teleconsulta,1622000,25
2023-08-16,Adultos,4934000,91
2023-08-16,Infantil,2987000,52
2023-08-17,Infantil,4108000,75
2023-08-17,Teleconsulta,1945000,31
2023-08-17,Adultos,2710000,49
2023-08-18,Infantil,3370000,65
2023-08-18,Teleconsulta,980000,16
2023-08-18,Adultos,3680000,66
2023-08-19,Adultos,900000,18
2023-08-19,Teleconsulta,750000,12
2023-08-19,Infantil,1530000,35
2023-08-21,Adultos,3680000,60
2023-08-21,Infantil,3206000,55
2023-08-21,Teleconsulta,2325000,37
2023-08-22,Adultos,3950000,65
2023-08-22,Infantil,3773000,65
2023-08-22,Teleconsulta,2005000,33
2023-08-23,Teleconsulta,1577000,24
2023-08-23,Adultos,3095000,55
2023-08-23,Infantil,2621000,47
2023-08-24,Teleconsulta,2265000,39
2023-08-24,Infantil,3345000,59
2023-08-24,Adultos,3115000,57
2023-08-25,Adultos,3116000,55
2023-08-25,Infantil,3066000,59
2023-08-25,Teleconsulta,1345000,21
2023-08-26,Teleconsulta,1015000,17
2023-08-26,Adultos,1320000,24
2023-08-26,Infantil,1320000,33
2023-08-28,Adultos,3993000,65
2023-08-28,Infantil,3716000,61
2023-08-28,Teleconsulta,2165000,35
2023-08-29,Adultos,4260000,70
2023-08-29,Infantil,3831000,66
2023-08-29,Teleconsulta,2495000,41
2023-08-30,Adultos,3742000,70
2023-08-30,Infantil,3036000,57
2023-08-30,Teleconsulta,1840000,28
2023-08-31,Teleconsulta,2035000,31
2023-08-31,Adultos,3105000,57
2023-08-31,Infantil,4752000,84
2023-09-01,Adultos,3995000,64
2023-09-01,Infantil,3448000,63
2023-09-01,Teleconsulta,1266000,21
2023-09-02,Adultos,1050000,20
2023-09-02,Infantil,925000,21
2023-09-02,Teleconsulta,1095000,17
2023-09-04,Adultos,3805000,61
2023-09-04,Teleconsulta,2182000,37
2023-09-04,Infantil,3094000,53
2023-09-05,Infantil,3868000,68
2023-09-05,Teleconsulta,2285000,35
2023-09-05,Adultos,4030000,64
2023-09-06,Adultos,3098000,56
2023-09-06,Infantil,3387000,60
2023-09-06,Teleconsulta,2505000,40
2023-09-07,Infantil,3997000,73
2023-09-07,Teleconsulta,1776000,29
2023-09-07,Adultos,4030000,70
2023-09-08,Infantil,3131000,54
2023-09-08,Teleconsulta,785000,15
2023-09-08,Adultos,2505000,43
2023-09-09,Teleconsulta,905000,13
2023-09-09,Adultos,1000000,20
2023-09-09,Infantil,1220000,30
2023-09-10,Teleconsulta,75000,1
2023-09-11,Adultos,2070000,32
2023-09-11,Infantil,1592000,27
2023-09-11,Teleconsulta,3000000,46
2023-09-12,Teleconsulta,2395000,39
2023-09-12,Adultos,3955000,67
2023-09-12,Infantil,3806000,71
2023-09-13,Teleconsulta,1858000,30
2023-09-13,Infantil,3572000,61
2023-09-13,Adultos,2590000,52
2023-09-14,Teleconsulta,1895000,29
2023-09-14,Adultos,3455000,61
2023-09-14,Infantil,3898500,71
2023-09-15,Teleconsulta,990000,18
2023-09-15,Infantil,2620000,44
2023-09-15,Adultos,2475000,47
2023-09-16,Teleconsulta,740000,14
2023-09-17,Teleconsulta,75000,1
2023-09-20,Teleconsulta,1070000,18
2023-09-20,Adultos,2968000,58
2023-09-20,Infantil,2723000,49
2023-09-21,Adultos,2360000,47
2023-09-21,Infantil,3393000,62
2023-09-21,Teleconsulta,1580000,26
2023-09-22,Infantil,4162000,78
2023-09-22,Teleconsulta,666000,13
2023-09-22,Adultos,3315000,59
2023-09-23,Infantil,1375000,31
2023-09-23,Teleconsulta,1125000,19
2023-09-23,Adultos,1791000,34
2023-09-25,Infantil,3505000,57
2023-09-25,Teleconsulta,1815000,29
2023-09-25,Adultos,3953000,59
2023-09-26,Teleconsulta,2580000,42
2023-09-26,Infantil,3652000,66
2023-09-26,Adultos,4255000,69
2023-09-27,Adultos,4400000,79
2023-09-27,Infantil,3545000,62
2023-09-27,Teleconsulta,1335000,19
2023-09-28,Infantil,4418000,75
2023-09-28,Teleconsulta,1345000,23
2023-09-28,Adultos,3825000,67
2023-09-29,Teleconsulta,1195000,21
2023-09-29,Infantil,4686500,83
2023-09-29,Adultos,3395000,57
2023-09-30,Adultos,1585000,27
2023-09-30,Infantil,1835000,42
2023-09-30,Teleconsulta,1005000,17
2023-10-02,Teleconsulta,2000000,32
2023-10-02,Adultos,4272000,68
2023-10-02,Infantil,3177000,56
2023-10-03,Adultos,4700000,78
2023-10-03,Teleconsulta,3047000,50
2023-10-03,Infantil,4010000,69
2023-10-04,Adultos,5732000,101
2023-10-04,Infantil,3577000,64
2023-10-04,Teleconsulta,2215000,35
2023-10-05,Adultos,4220000,74
2023-10-05,Infantil,5825000,104
2023-10-05,Teleconsulta,2045000,35
2023-10-06,Infantil,3927000,67
2023-10-06,Adultos,3845000,65
2023-10-06,Teleconsulta,1646000,31
2023-10-07,Adultos,1550000,28
2023-10-07,Infantil,1300000,28
2023-10-07,Teleconsulta,745000,11
2023-10-10,Adultos,3706000,60
2023-10-10,Infantil,3830000,67
2023-10-10,Teleconsulta,2931000,48
2023-10-11,Adultos,5028000,87
2023-10-11,Infantil,3198000,57
2023-10-11,Teleconsulta,2007000,34
2023-10-12,Adultos,3590000,66
2023-10-12,Teleconsulta,2470000,40
2023-10-12,Infantil,4821000,88
2023-10-13,Teleconsulta,1620000,28
2023-10-13,Adultos,3530000,62
2023-10-13,Infantil,2923000,54
2023-10-14,Adultos,1076000,21
2023-10-14,Infantil,1248000,27
2023-10-14,Teleconsulta,535000,11
2023-10-16,Infantil,3558000,62
2023-10-16,Teleconsulta,2277000,36
2023-10-16,Adultos,4374000,71
2023-10-17,Infantil,4294000,71
2023-10-17,Teleconsulta,2675000,43
2023-10-17,Adultos,4210000,68
2023-10-18,Adultos,4620000,81
2023-10-18,Infantil,3234000,58
2023-10-18,Teleconsulta,2330000,36
2023-10-19,Teleconsulta,2450000,40
2023-10-19,Adultos,3475000,69
2023-10-19,Infantil,3805000,71
2023-10-20,Infantil,3345000,58
2023-10-20,Adultos,2830000,52
2023-10-20,Teleconsulta,1771000,32
2023-10-21,Teleconsulta,910000,16
2023-10-21,Adultos,1206000,23
2023-10-21,Infantil,1315000,30
2023-10-23,Adultos,4348000,76
2023-10-23,Infantil,3371000,58
2023-10-23,Teleconsulta,1955000,33
2023-10-24,Infantil,5346000,92
2023-10-24,Teleconsulta,2620000,44
2023-10-24,Adultos,5627000,93
2023-10-25,Infantil,4076000,74
2023-10-25,Adultos,5465000,91
2023-10-25,Teleconsulta,2150000,32
2023-10-26,Adultos,4835000,81
2023-10-26,Infantil,4596000,82
2023-10-26,Teleconsulta,1900000,32
2023-10-28,Teleconsulta,640000,10
2023-10-28,Adultos,811000,18
2023-10-28,Infantil,1150000,26
2023-10-29,Teleconsulta,300000,4
2023-10-30,Infantil,2122000,36
2023-10-30,Adultos,4363000,74
2023-10-30,Teleconsulta,1836000,29
2023-10-31,Adultos,4414500,70
2023-10-31,Infantil,3794000,66
2023-10-31,Teleconsulta,1936000,35
2023-11-02,Adultos,3656000,69
2023-11-02,Infantil,4905000,90
2023-11-02,Teleconsulta,2265000,39
2023-11-03,Teleconsulta,1965000,31
2023-11-03,Infantil,4333000,81
2023-11-03,Adultos,3266000,61
2023-11-04,Teleconsulta,1110000,18
2023-11-04,Adultos,1271000,24
2023-11-04,Infantil,1064000,26
2023-11-06,Adultos,5089000,84
2023-11-06,Infantil,3592000,61
2023-11-06,Teleconsulta,1905000,31
2023-11-07,Adultos,4827000,77
2023-11-07,Teleconsulta,3106000,47
2023-11-07,Infantil,4610000,83
2023-11-08,Infantil,2987000,60
2023-11-08,Teleconsulta,2592000,39
2023-11-08,Adultos,5763000,99
2023-11-09,Adultos,5085000,90
2023-11-09,Infantil,3474000,74
2023-11-09,Teleconsulta,2017000,37
2023-11-10,Teleconsulta,1270000,22
2023-11-10,Infantil,2221000,41
2023-11-10,Adultos,3250000,60
2023-11-11,Infantil,1603000,36
2023-11-11,Adultos,1011000,20
2023-11-11,Teleconsulta,375000,9
2023-11-12,Teleconsulta,525000,7
2023-11-13,Adultos,5085000,85
2023-11-13,Infantil,3134000,55
2023-11-13,Teleconsulta,2021000,34
2023-11-14,Teleconsulta,2555000,43
2023-11-14,Infantil,4128500,74
2023-11-14,Adultos,5769000,95
2023-11-15,Infantil,3715000,65
2023-11-15,Teleconsulta,1610000,24
2023-11-15,Adultos,5607000,99
2023-11-16,Teleconsulta,1771000,34
2023-11-16,Infantil,5182000,95
2023-11-16,Adultos,3855000,73
2023-11-17,Adultos,2175000,41
2023-11-17,Infantil,3384000,60
2023-11-17,Teleconsulta,885000,15
2023-11-18,Teleconsulta,1000000,16
2023-11-18,Adultos,975000,19
2023-11-18,Infantil,886000,21
2023-11-20,Infantil,3442000,61
2023-11-20,Teleconsulta,2130000,32
2023-11-20,Adultos,4627000,78
2023-11-21,Teleconsulta,3191000,52
2023-11-21,Adultos,4558000,77
2023-11-21,Infantil,2778000,53
2023-11-22,Teleconsulta,1510000,22
2023-11-22,Adultos,6600000,111
2023-11-22,Infantil,3095000,54
2023-11-23,Teleconsulta,2580000,42
2023-11-23,Adultos,4705000,89
2023-11-23,Infantil,5015000,91
2023-11-24,Teleconsulta,1130000,16
2023-11-24,Infantil,3277000,57
2023-11-24,Adultos,3746000,68
2023-11-25,Infantil,1295000,30
2023-11-25,Adultos,860000,18
2023-11-25,Teleconsulta,970000,16
2023-11-27,Adultos,4942000,84
2023-11-27,Infantil,3720000,62
2023-11-27,Teleconsulta,1640000,28
2023-11-28,Teleconsulta,2405000,39
2023-11-28,Adultos,5010000,80
2023-11-28,Infantil,4062000,75
2023-11-29,Teleconsulta,1475000,21
2023-11-29,Adultos,6724000,118
2023-11-29,Infantil,3480000,57
2023-11-30,Adultos,3880000,72
2023-11-30,Infantil,4440000,81
2023-11-30,Teleconsulta,2857000,46
2023-12-01,Teleconsulta,1460000,22
2023-12-01,Adultos,2876000,53
2023-12-01,Infantil,3547000,61
2023-12-02,Adultos,750000,16
2023-12-02,Infantil,1055000,26
2023-12-02,Teleconsulta,1055000,17
2023-12-04,Adultos,3529000,61
2023-12-04,Infantil,3478000,57
2023-12-04,Teleconsulta,1897000,33
2023-12-05,Adultos,4950000,78
2023-12-05,Infantil,4239500,83
2023-12-05,Teleconsulta,2832000,46
2023-12-06,Infantil,3744000,63
2023-12-06,Adultos,4845000,88
2023-12-06,Teleconsulta,2060000,30
2023-12-07,Adultos,3778000,72
2023-12-07,Infantil,3188000,58
2023-12-07,Teleconsulta,2417000,41
2023-12-09,Adultos,680000,14
2023-12-09,Infantil,995000,26
2023-12-09,Teleconsulta,615000,11
2023-12-11,Teleconsulta,1541000,24
2023-12-11,Adultos,4612000,83
2023-12-11,Infantil,3510000,54
2023-12-12,Infantil,3521500,71
2023-12-12,Adultos,3925000,63
2023-12-12,Teleconsulta,2885000,47
2023-12-13,Infantil,3139000,57
2023-12-13,Teleconsulta,2169000,33
2023-12-13,Adultos,5465000,99
2023-12-14,Infantil,4122000,76
2023-12-14,Teleconsulta,2630000,40
2023-12-14,Adultos,3891000,70
2023-12-15,Teleconsulta,1371000,24
2023-12-15,Adultos,3860000,65
2023-12-15,Infantil,2550000,43
2023-12-16,Teleconsulta,285000,7
2023-12-16,Adultos,385000,9
2023-12-16,Infantil,748000,19
2023-12-18,Adultos,5514000,95
2023-12-18,Infantil,3255000,55
2023-12-18,Teleconsulta,2483000,39
2023-12-19,Teleconsulta,2325000,37
2023-12-19,Adultos,4786000,79
2023-12-19,Infantil,3920000,76
2023-12-20,Adultos,6171000,106
2023-12-20,Infantil,2804000,48
2023-12-20,Teleconsulta,1362000,21
2023-12-21,Adultos,5083000,92
2023-12-21,Infantil,3576000,69
2023-12-21,Teleconsulta,2060000,36
2023-12-22,Adultos,4105000,69
2023-12-22,Infantil,2647000,45
2023-12-22,Teleconsulta,1945000,31
2023-12-23,Teleconsulta,880000,14
2023-12-23,Adultos,561000,14
2023-12-23,Infantil,1235000,28
2023-12-26,Adultos,3555000,57
2023-12-26,Infantil,2562000,48
2023-12-26,Teleconsulta,2630000,40
2023-12-27,Adultos,5643000,95
2023-12-27,Infantil,2935500,51
2023-12-27,Teleconsulta,2036000,31
2023-12-28,Adultos,3923000,72
2023-12-28,Teleconsulta,3186000,49
2023-12-28,Infantil,4778000,86
2023-12-29,Teleconsulta,1735000,29
2023-12-29,Infantil,3253000,54
2023-12-29,Adultos,3185000,51
2023-12-30,Adultos,381000,10
2023-12-30,Infantil,1250000,29
2023-12-30,Teleconsulta,710000,12
2024-01-02,Infantil,2645000,47
2024-01-02,Teleconsulta,2065000,33
2024-01-02,Adultos,4531000,72
2024-01-03,Teleconsulta,2295000,35
2024-01-03,Infantil,3495000,57
2024-01-03,Adultos,5854000,98
2024-01-04,Teleconsulta,2832000,44
2024-01-04,Adultos,5347000,93
2024-01-04,Infantil,4050000,68
2024-01-05,Adultos,4115000,65
2024-01-05,Infantil,3040000,49
2024-01-05,Teleconsulta,1485000,25
2024-01-06,Teleconsulta,660000,10
2024-01-06,Infantil,1295000,30
2024-01-06,Adultos,985000,23
2024-01-07,Teleconsulta,150000,2
2024-01-08,Infantil,2730000,45
2024-01-08,Teleconsulta,2273000,37
2024-01-08,Adultos,4665000,79
2024-01-09,Teleconsulta,2685000,45
2024-01-09,Infantil,4034000,78
2024-01-09,Adultos,5075000,81
2024-01-10,Infantil,3019000,54
2024-01-10,Teleconsulta,2017000,30
2024-01-10,Adultos,6923000,117
2024-01-11,Adultos,5691000,96
2024-01-11,Infantil,4166000,75
2024-01-11,Teleconsulta,2917000,50
2024-01-12,Infantil,3060000,48
2024-01-12,Teleconsulta,1715000,29
2024-01-12,Adultos,4720000,74
2024-01-13,Teleconsulta,895000,13
2024-01-13,Infantil,960000,22
2024-01-13,Adultos,585000,15
2024-01-15,Adultos,5291000,91
2024-01-15,Infantil,3365000,59
2024-01-15,Teleconsulta,1796000,29
2024-01-16,Teleconsulta,3180000,50
2024-01-16,Adultos,5136000,83
2024-01-16,Infantil,3574000,64
2024-01-17,Adultos,6004000,104
2024-01-17,Teleconsulta,2520000,42
2024-01-17,Infantil,2836000,50
2024-01-18,Teleconsulta,2375000,39
2024-01-18,Infantil,5189500,94
2024-01-18,Adultos,4315000,74
2024-01-19,Adultos,3930000,64
2024-01-19,Infantil,3170000,50
2024-01-19,Teleconsulta,1305000,23
2024-01-20,Infantil,685000,14
2024-01-20,Teleconsulta,770000,12
2024-01-20,Adultos,596000,15
2024-01-22,Teleconsulta,1590000,26
2024-01-22,Infantil,2870000,47
2024-01-22,Adultos,4285000,75
2024-01-23,Adultos,5682000,91
2024-01-23,Infantil,2930000,53
2024-01-23,Teleconsulta,3100000,48
2024-01-24,Teleconsulta,2450000,43
2024-01-24,Adultos,6738000,113
2024-01-24,Infantil,2752000,46
2024-01-25,Teleconsulta,3220000,54
2024-01-25,Adultos,4360000,82
2024-01-25,Infantil,3836000,70
2024-01-26,Adultos,4150000,70
2024-01-26,Infantil,2812000,46
2024-01-26,Teleconsulta,1240000,20
